id;stock;product_id;version
0;8;0;1
1;7;1;1
2;8;2;1
3;2;3;1
4;3;4;1
5;2;5;1
6;3;6;1
7;6;7;1
8;7;8;1
9;8;9;1
10;0;10;1
11;7;11;1
12;9;12;1
13;5;13;1
14;8;14;1
15;4;15;1
16;1;16;1
17;6;17;1
18;4;18;1
19;9;19;1
20;4;20;1
21;4;21;1
22;3;22;1
23;9;23;1
24;7;24;1
25;9;25;1
26;4;26;1
27;4;27;1
28;9;28;1
29;3;29;1
30;6;30;1
31;8;31;1
32;2;32;1
33;2;33;1
34;4;34;1
35;2;35;1
36;0;36;1
37;1;37;1
38;0;38;1
39;4;39;1
40;7;40;1
41;9;41;1
42;5;42;1
43;6;43;1
44;0;44;1
45;3;45;1
46;8;46;1
47;8;47;1
48;6;48;1
49;2;49;1
50;1;50;1
51;4;51;1
52;5;52;1
53;0;53;1
54;0;54;1
55;8;55;1
56;3;56;1
57;3;57;1
58;6;58;1
59;6;59;1
60;8;60;1
61;5;61;1
62;8;62;1
63;0;63;1
64;6;64;1
65;2;65;1
66;8;66;1
67;0;67;1
68;1;68;1
69;1;69;1
70;4;70;1
71;5;71;1
72;7;72;1
73;7;73;1
74;5;74;1
75;8;75;1
76;9;76;1
77;6;77;1
78;2;78;1
79;9;79;1
